Postal Code,Sales,Quantity,Discount,Profit,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology
42420,261.96,2,0.0,41.9136,False,True,False,False,False,False,True,False,False,False
42420,731.94,3,0.0,219.582,False,True,False,False,False,False,True,False,False,False
90036,14.62,2,0.0,6.8714,False,True,False,True,False,False,False,True,True,False
33311,957.5775,5,0.45,-383.031,False,False,True,False,False,False,True,False,False,False
33311,22.368,2,0.2,2.5164,False,False,True,False,False,False,True,False,True,False
90032,48.86,7,0.0,14.1694,False,False,True,False,False,False,False,True,False,False
90032,7.28,4,0.0,1.9656,False,False,True,False,False,False,False,True,True,False
90032,907.152,6,0.2,90.7152,False,False,True,False,False,False,False,True,False,True
90032,18.504,3,0.2,5.7825,False,False,True,False,False,False,False,True,True,False
90032,114.9,5,0.0,34.47,False,False,True,False,False,False,False,True,True,False
90032,1706.184,9,0.2,85.3092,False,False,True,False,False,False,False,True,False,False
90032,911.424,4,0.2,68.3568,False,False,True,False,False,False,False,True,False,True
28027,15.552,3,0.2,5.4432,False,False,True,False,False,False,True,False,True,False
98103,407.976,3,0.2,132.5922,False,False,True,False,False,False,False,True,True,False
76106,68.81,5,0.8,-123.858,False,False,True,False,True,False,False,False,True,False
76106,2.544,3,0.8,-3.816,False,False,True,False,True,False,False,False,True,False
53711,665.88,6,0.0,13.3176,False,False,True,False,False,False,False,False,True,False
84084,55.5,2,0.0,9.99,False,True,False,False,False,False,False,True,True,False
94109,8.56,2,0.0,2.4824,False,True,False,False,False,False,False,True,True,False
94109,213.48,3,0.2,16.011,False,True,False,False,False,False,False,True,False,True
94109,22.72,4,0.2,7.384,False,True,False,False,False,False,False,True,True,False
68025,19.46,7,0.0,5.0596,False,False,True,True,False,False,False,False,True,False
68025,60.34,7,0.0,15.6884,False,False,True,True,False,False,False,False,True,False
19140,71.372,2,0.3,-1.0196,False,True,False,False,False,True,False,False,False,False
84057,1044.63,3,0.0,240.2649,False,False,True,False,False,False,False,True,False,False
90049,11.648,2,0.2,4.2224,False,True,False,False,False,False,False,True,True,False
90049,90.57,3,0.0,11.7741,False,True,False,False,False,False,False,True,False,True
19140,3083.43,7,0.5,-1665.0522,False,False,True,False,False,True,False,False,False,False
19140,9.618,2,0.7,-7.0532,False,False,True,False,False,True,False,False,True,False
19140,124.2,3,0.2,15.525,False,False,True,False,False,True,False,False,False,False
19140,3.264,2,0.2,1.1016,False,False,True,False,False,True,False,False,True,False
19140,86.304,6,0.2,9.7092,False,False,True,False,False,True,False,False,True,False
19140,6.858,6,0.7,-5.715,False,False,True,False,False,True,False,False,True,False
19140,15.76,2,0.2,3.546,False,False,True,False,False,True,False,False,True,False
77095,29.472,3,0.2,9.9468,False,True,False,False,True,False,False,False,True,False
75080,1097.544,7,0.2,123.4737,False,False,False,True,False,False,False,False,False,True
75080,190.92,5,0.6,-147.963,False,False,False,True,False,False,False,False,False,False
77041,113.328,9,0.2,35.415,False,False,True,False,True,False,False,False,True,False
77041,532.3992,3,0.32,-46.9764,False,False,True,False,True,False,False,False,False,False
77041,212.058,3,0.3,-15.147,False,False,True,False,True,False,False,False,False,False
77041,371.168,4,0.2,41.7564,False,False,True,False,True,False,False,False,False,True
60540,147.168,4,0.2,16.5564,False,False,True,True,False,False,False,False,False,True
90049,77.88,2,0.0,3.894,False,False,True,True,False,False,False,True,True,False
32935,95.616,2,0.2,9.5616,False,False,True,True,False,False,True,False,True,False
55122,45.98,2,0.0,19.7714,False,False,False,True,False,False,False,False,False,True
55122,17.46,2,0.0,8.2062,False,False,False,True,False,False,False,False,True,False
48185,211.96,4,0.0,8.4784,False,True,False,False,False,False,False,False,True,False
19901,45.0,3,0.0,4.95,False,False,True,False,False,True,False,False,False,True
19901,21.8,2,0.0,6.104,False,False,True,False,False,True,False,False,False,True
47150,38.22,6,0.0,17.9634,False,False,True,False,False,False,False,False,True,False
47150,75.18,6,0.0,35.3346,False,False,True,False,False,False,False,False,True,False
47150,6.16,2,0.0,2.9568,False,False,True,False,False,False,False,False,False,False
47150,89.99,1,0.0,17.0981,False,False,True,False,False,False,False,False,False,False
10024,15.26,7,0.0,6.2566,False,False,True,True,False,True,False,False,True,False
10024,1029.95,5,0.0,298.6855,False,False,True,True,False,True,False,False,False,True
12180,208.56,6,0.0,52.14,False,False,False,False,False,True,False,False,True,False
12180,32.4,5,0.0,15.552,False,False,False,False,False,True,False,False,True,False
12180,319.41,5,0.1,7.098,False,False,False,False,False,True,False,False,False,False
12180,14.56,2,0.0,6.9888,False,False,False,False,False,True,False,False,True,False
12180,30.0,2,0.0,3.3,False,False,False,False,False,True,False,False,False,True
12180,48.48,4,0.2,16.362,False,False,False,False,False,True,False,False,True,False
12180,1.68,1,0.0,0.84,False,False,False,False,False,True,False,False,True,False
90004,13.98,2,0.0,6.1512,False,False,True,False,False,False,False,True,False,True
90004,25.824,6,0.2,9.3612,False,False,True,False,False,False,False,True,True,False
90004,146.73,3,0.0,68.9631,False,False,True,False,False,False,False,True,True,False
90004,79.76,4,0.0,22.3328,False,False,True,False,False,False,False,True,False,False
60610,213.115,5,0.3,-15.2225,False,False,True,False,True,False,False,False,False,False
85234,1113.024,8,0.2,111.3024,False,False,True,True,False,False,False,True,True,False
85234,167.968,4,0.2,62.988,False,False,True,True,False,False,False,True,False,True
22153,75.88,2,0.0,35.6636,False,False,False,False,False,False,True,False,True,False
10009,4.616,1,0.2,1.731,False,False,True,False,False,True,False,False,True,False
49201,19.05,3,0.0,8.763,False,True,False,False,False,False,False,False,True,False
38109,831.936,8,0.2,-114.3912,False,False,True,False,False,False,True,False,False,False
38109,97.04,2,0.2,1.213,False,False,True,False,False,False,True,False,False,False
38109,72.784,1,0.2,-18.196,False,False,True,False,False,False,True,False,True,False
77041,1.248,3,0.8,-1.9344,False,False,False,True,False,False,False,False,True,False
77041,9.708,3,0.6,-5.8248,False,False,False,True,False,False,False,False,False,False
77041,27.24,3,0.2,2.724,False,False,False,True,False,False,False,False,True,False
77070,19.3,5,0.6,-14.475,False,True,False,False,False,False,False,False,False,False
35601,208.16,1,0.0,56.2032,False,False,False,True,False,False,True,False,True,False
35601,16.74,3,0.0,8.0352,False,False,False,True,False,False,True,False,True,False
94122,14.9,5,0.0,4.172,False,False,True,False,False,False,False,True,True,False
94122,21.39,1,0.0,6.2031,False,False,True,False,False,False,False,True,True,False
27707,200.984,7,0.2,62.8075,False,False,True,True,False,False,True,False,True,False
60623,230.376,3,0.2,-48.9549,False,False,False,False,True,False,False,False,True,False
29203,301.96,2,0.0,33.2156,False,True,False,False,False,False,True,False,False,False
55901,19.99,1,0.0,6.7966,False,False,True,False,False,False,False,False,False,True
55901,6.16,2,0.0,2.9568,False,False,True,False,False,False,False,False,True,False
77095,158.368,7,0.2,13.8572,False,True,False,False,True,False,False,False,True,False
90036,20.1,3,0.0,6.633,False,False,True,True,False,False,False,True,True,False
90036,73.584,2,0.2,8.2782,False,False,True,True,False,False,False,True,False,True
90036,6.48,1,0.0,3.1104,False,False,True,True,False,False,False,True,True,False
55407,12.96,2,0.0,6.2208,False,True,False,False,False,False,False,False,True,False
55407,53.34,3,0.0,16.5354,False,True,False,False,False,False,False,False,False,False
55407,32.96,2,0.0,16.1504,False,True,False,False,False,False,False,False,True,False
97206,5.682,1,0.7,-3.788,False,False,True,False,True,False,False,True,True,False
10009,96.53,7,0.0,40.5426,False,True,False,False,True,True,False,False,False,False
94122,51.312,3,0.2,17.9592,False,False,False,False,False,False,False,True,True,False
55106,77.88,6,0.0,22.5852,False,False,True,True,False,False,False,False,True,False
60610,64.624,7,0.2,22.6184,False,False,True,False,True,False,False,False,True,False
60610,95.976,3,0.2,-10.7973,False,False,True,False,True,False,False,False,False,True
60610,1.788,3,0.8,-3.0396,False,False,True,False,True,False,False,False,True,False
55901,23.92,4,0.0,11.7208,False,True,False,False,False,False,False,False,True,False
80013,238.896,6,0.2,-26.8758,False,False,True,False,False,False,False,True,False,True
80013,102.36,3,0.2,-3.8385,False,False,True,False,False,False,False,True,False,False
80013,36.882,3,0.7,-25.8174,False,False,True,False,False,False,False,True,True,False
28205,74.112,8,0.2,17.6016,False,False,True,False,False,False,True,False,False,True
28205,27.992,1,0.2,2.0994,False,False,True,False,False,False,True,False,False,True
28205,3.304,1,0.2,1.0738,False,False,True,False,False,False,True,False,True,False
60462,339.96,5,0.2,67.992,False,False,True,False,True,False,False,False,False,True
10035,41.96,2,0.0,10.9096,False,False,True,True,False,True,False,False,False,False
50322,75.96,2,0.0,22.788,False,False,True,False,False,False,False,False,True,False
50322,27.24,6,0.0,13.3476,False,False,True,False,False,False,False,False,True,False
43229,40.096,14,0.2,14.5348,False,True,False,False,False,True,False,False,True,False
43229,4.72,2,0.2,1.652,False,True,False,False,False,True,False,False,True,False
43229,23.976,3,0.2,7.4925,False,True,False,False,False,True,False,False,True,False
43229,130.464,6,0.2,44.0316,False,True,False,False,False,True,False,False,True,False
98103,787.53,3,0.0,165.3813,False,False,True,False,False,False,False,True,False,False
37620,157.794,1,0.7,-115.7156,False,False,True,True,False,False,True,False,True,False
19805,47.04,3,0.0,18.3456,False,False,False,False,False,True,False,False,False,False
19805,30.84,4,0.0,13.878,False,False,False,False,False,True,False,False,True,False
19805,226.56,6,0.0,63.4368,False,False,False,False,False,True,False,False,True,False
19805,115.02,9,0.0,51.759,False,False,False,False,False,True,False,False,True,False
19805,68.04,7,0.0,19.7316,False,False,False,False,False,True,False,False,False,True
77041,600.558,3,0.3,-8.5794,False,True,False,False,True,False,False,False,False,False
61701,617.7,6,0.5,-407.682,False,False,True,False,False,False,False,False,False,False
85023,2.388,2,0.7,-1.8308,False,False,True,False,False,False,False,True,True,False
85023,243.992,7,0.2,30.499,False,False,True,False,False,False,False,True,True,False
90004,81.424,2,0.2,-9.1602,False,True,False,False,True,False,False,True,False,False
90004,238.56,3,0.0,26.2416,False,True,False,False,True,False,False,True,False,False
43229,59.97,5,0.4,-11.994,False,False,False,True,False,True,False,False,False,True
43229,78.304,2,0.2,29.364,False,False,False,True,False,True,False,False,True,False
43229,21.456,9,0.2,6.9732,False,False,False,True,False,True,False,False,True,False
95661,20.04,3,0.0,9.6192,False,False,True,False,False,False,False,True,True,False
95661,35.44,1,0.0,16.6568,False,False,True,False,False,False,False,True,True,False
95661,11.52,4,0.0,3.456,False,False,True,False,False,False,False,True,True,False
95661,4.02,2,0.0,1.9698,False,False,True,False,False,False,False,True,True,False
95661,76.176,3,0.2,26.6616,False,False,True,False,False,False,False,True,True,False
95661,65.88,6,0.0,18.4464,False,False,True,False,False,False,False,True,True,False
95661,43.12,14,0.0,20.6976,False,False,True,False,False,False,False,True,False,False
19140,82.8,2,0.2,10.35,False,True,False,True,False,True,False,False,False,False
94122,8.82,3,0.0,2.3814,False,False,True,True,False,False,False,True,True,False
94122,10.86,3,0.0,5.1042,False,False,True,True,False,False,False,True,True,False
94122,143.7,3,0.0,68.976,False,False,True,True,False,False,False,True,True,False
64055,839.43,3,0.0,218.2518,False,False,True,False,False,False,False,False,True,False
91104,671.93,7,0.0,20.1579,False,False,True,False,False,False,False,True,True,False
43055,93.888,4,0.2,12.9096,False,False,True,False,True,True,False,False,False,False
53132,384.45,11,0.0,103.8015,False,False,True,True,False,False,False,False,False,True
53132,149.97,3,0.0,5.9988,False,False,True,True,False,False,False,False,False,True
53132,1951.84,8,0.0,585.552,False,False,True,True,False,False,False,False,False,False
53132,171.55,5,0.0,80.6285,False,False,True,True,False,False,False,False,True,False
85254,157.92,5,0.2,17.766,False,False,False,False,True,False,False,True,True,False
85254,203.184,2,0.2,15.2388,False,False,False,False,True,False,False,True,False,True
95123,58.38,7,0.0,26.271,False,False,False,True,False,False,False,True,True,False
95123,105.52,4,0.0,48.5392,False,False,False,True,False,False,False,True,True,False
95123,80.88,6,0.0,21.0288,False,False,False,True,False,False,False,True,True,False
98105,6.63,3,0.0,1.7901,False,False,True,False,True,False,False,True,True,False
98115,457.568,2,0.2,51.4764,False,True,False,False,False,False,False,True,False,False
73034,14.62,2,0.0,6.8714,False,False,True,False,False,False,False,False,True,False
73034,944.93,7,0.0,236.2325,False,False,True,False,False,False,False,False,False,True
90045,5.98,1,0.0,2.691,False,False,False,False,False,False,False,True,True,False
19134,54.384,2,0.2,1.3596,False,True,False,False,False,True,False,False,False,True
88220,28.4,5,0.0,13.348,False,False,True,False,False,False,False,True,True,False
98115,27.68,2,0.2,9.688,False,False,True,False,False,False,False,True,True,False
78207,9.936,3,0.2,2.7324,False,False,True,False,False,False,False,False,True,False
78207,8159.952,8,0.4,-1359.992,False,False,True,False,False,False,False,False,False,True
78207,275.928,3,0.2,-58.6347,False,False,True,False,False,False,False,False,True,False
78207,1740.06,9,0.3,-24.858,False,False,True,False,False,False,False,False,False,False
78207,32.064,6,0.2,6.8136,False,False,True,False,False,False,False,False,True,False
78207,177.98,5,0.8,-453.849,False,False,True,False,False,False,False,False,True,False
78207,143.976,3,0.2,8.9985,False,False,True,False,False,False,False,False,False,True
90004,20.94,3,0.0,9.8418,False,False,True,False,False,False,False,True,True,False
90004,110.96,2,0.0,53.2608,False,False,True,False,False,False,False,True,True,False
90004,340.144,7,0.2,21.259,False,False,True,False,False,False,False,True,False,False
60623,52.448,2,0.8,-131.12,False,False,True,True,False,False,False,False,True,False
60623,20.16,4,0.2,6.552,False,False,True,True,False,False,False,False,True,False
77036,97.264,4,0.8,-243.16,False,True,False,False,False,False,False,False,True,False
43055,396.802,7,0.3,-11.3372,False,True,False,False,False,True,False,False,False,False
43055,15.88,5,0.2,-3.7715,False,True,False,False,False,True,False,False,True,False
10009,3.28,1,0.0,1.4104,False,False,True,False,True,True,False,False,True,False
62521,24.816,2,0.2,1.8612,False,True,False,True,False,False,False,False,True,False
62521,408.744,7,0.2,76.6395,False,True,False,True,False,False,False,False,False,True
71203,503.96,4,0.0,131.0296,False,True,False,False,True,False,True,False,False,True
71203,149.95,5,0.0,41.986,False,True,False,False,True,False,True,False,False,True
71203,29.0,2,0.0,7.25,False,True,False,False,True,False,True,False,False,True
6824,7.16,2,0.0,3.4368,False,False,True,False,False,True,False,False,True,False
90032,176.8,8,0.0,22.984,False,False,True,False,True,False,False,True,False,True
75051,37.224,3,0.2,3.7224,False,False,True,True,False,False,False,False,True,False
