epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5649,1.6162,3.58175,2.0443,0.00638,0.92727,0.08315,0.04114,1.04351,3.46835,1.43947,3.75e-05,3.75e-05,3.75e-05
2,126.972,1.40199,3.39435,1.80007,0.00678,1,0.42221,0.26554,0.9635,3.47287,1.37745,7.88375e-05,7.88375e-05,7.88375e-05
3,192.653,1.11698,3.12592,1.49504,0.0074,1,0.69841,0.33672,1.03325,3.56832,1.50637,0.000110275,0.000110275,0.000110275
4,260.793,1.10854,2.59775,1.48487,0.00782,1,0.71617,0.4732,1.02531,3.24767,1.40027,0.000131813,0.000131813,0.000131813
5,339.111,1.0815,2.20556,1.45645,0.00825,1,0.78262,0.54922,0.99794,3.01604,1.35393,0.00014345,0.00014345,0.00014345
6,424.024,1.04716,1.95667,1.39405,0.00771,1,0.83434,0.59195,1.00183,3.01312,1.31227,0.000145187,0.000145187,0.000145187
7,514.501,0.99616,1.76877,1.34861,0.00706,1,0.9275,0.67401,0.94945,2.96374,1.26657,0.000137025,0.000137025,0.000137025
8,610.726,0.97046,1.55822,1.32087,0.00709,1,0.9028,0.6386,0.94746,2.90135,1.26465,0.000118963,0.000118963,0.000118963
9,710.276,0.95759,1.47072,1.31485,0.00714,1,0.932,0.66566,0.94312,2.84345,1.24813,9.1e-05,9.1e-05,9.1e-05
10,813.986,0.92416,1.38688,1.28708,0.0072,1,0.95098,0.6928,0.95716,2.74707,1.25768,5.31375e-05,5.31375e-05,5.31375e-05
